giro,nicho,empresa,url,email,telefono,ciudad,estado,pais,tipo,prioridad,score_contacto,notas,fuente
Salud,Colágeno hidrolizado,B Life,https://www.blife.mx/,,,México,México,México,Marca D2C,Media,3,Collagen blend I-II-III-V-X; fuerte ecom,marcas_d2c
Salud,Colágeno hidrolizado,Barosa Labs,https://barosalabs.com/,,,México,México,México,Maquila suplementos,Media,2,Fabrica colágeno+HA marca propia,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Bayer Consumer MX,https://www.bayer.com.mx/,,,México,México,México,Farmacéutica,Media,2,Consumer health,labs_pharma
Salud,Colágeno hidrolizado,Belabear / Belacaps,https://solanum.com.mx/,,,México,México,México,Marca gomitas,Media,3,Colágeno + biotina gomitas,marcas_d2c
Salud,Colágeno hidrolizado,BHP Colágeno,https://bhp.mx/,,,México,México,México,Marca deportiva,Media,3,Alto en proteínas,marcas_d2c
Salud,Colágeno hidrolizado,Biomiral / Colagener,https://biomiral.mx/,,,México,México,México,Marca D2C,Media,3,COLAGENER Tipo I,marcas_d2c
Salud,Colágeno hidrolizado,Birdman plant protein + colágeno?,https://birdman.com.mx/,,,México,México,México,Marca plant,Media,3,Proteínas MX,extra_marcas
Salud,Colágeno hidrolizado,Bodega Aurrera,https://www.bodegaaurrera.com.mx/,,,México,México,México,Retail,Media,2,Suplementos,retail_ecom
Salud,Colágeno hidrolizado,Brenntag México,https://www.brenntag.com/,,,México,México,México,Distribuidor químico,Media,3,Ingredientes,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Caalfrabet mayoreo,https://caalfrabet.com.mx/,,,México,México,México,Mayoreo,Media,3,Pretty Bee y más,extra_marcas
Salud,Colágeno hidrolizado,Cahuenga,https://cahuenga.mx/,,,México,México,México,Marca mexicana,Media,3,Colágeno avalado Profeco,marcas_d2c
Salud,Colágeno hidrolizado,Carticap,https://carticap.mx/,,,México,México,México,Marca articular,Media,3,Glucosamina + condroitina,marcas_d2c
Salud,Colágeno hidrolizado,Chedraui,https://www.chedraui.com.mx/,,,México,México,México,Supermercado,Media,2,Retail,retail_ecom
Salud,Colágeno hidrolizado,Chinoin,https://www.chinoin.com/,,,México,México,México,Farmacéutica MX,Media,2,OTC,labs_pharma
Salud,Colágeno hidrolizado,Colagelite,,,,Oaxaca,Oaxaca,México,Marca/sabor,Media,2,Polvo fresa,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Collagen Labores Nutrition,https://laboresnutrition.com/,,,México,México,México,Marca (import/EUA),Media,3,Top Profeco concentración,marcas_d2c
Salud,Colágeno hidrolizado,Colnatur MX,https://colnatur.mx/,,,México,México,México,Marca EU,Media,3,Farmacia,marcas_d2c
Salud,Colágeno hidrolizado,Costco México,https://www.costco.com.mx/,,,México,México,México,Club mayoreo,Media,3,Sesén Entera Vital Proteins,retail_ecom
Salud,Colágeno hidrolizado,Darling Ingredients / Rousselot,https://www.rousselot.com/,,,México,México,México,Industrial,Media,2,Peptan,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Drogas Tacuba SA de CV,,,55 4172 5953,CDMX,CDMX,México,Distribuidor farmacéutico,Media,4,Colágeno a granel grado,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Enature,https://enature.mx/,,,México,México,México,Marca natural,Media,3,Suplementos,extra_marcas
Salud,Colágeno hidrolizado,Energeios,https://energeios.mx/,,,México,México,México,Marca,Media,3,Kit antiedad 2 meses,marcas_d2c
Salud,Colágeno hidrolizado,Entera Pharma,https://enterapharma.mx/,,,México,México,México,Marca farmacéutica,Media,3,Colágeno puro sin azúcar; Costco,marcas_d2c
Salud,Colágeno hidrolizado,Esika / Belcorp MX,https://www.esika.com/,,,México,México,México,MLM,Media,2,Belleza,retail_ecom
Salud,Colágeno hidrolizado,Facial Time Colágeno,https://facialtime.mx/,,,México,México,México,Marca,Media,3,Puro 450g,marcas_d2c
Salud,Colágeno hidrolizado,Farma2go,https://farma2go.com/,,,México,México,México,Ecom farmacia,Media,3,Comparativas colágeno,retail_ecom
Salud,Colágeno hidrolizado,Farmacia Emergencias,https://farmaciaemergencias.com.mx/,,,México,México,México,Farmacia ecom,Media,3,Naturex colágeno,retail_ecom
Salud,Colágeno hidrolizado,Farmacia Paris,https://www.farmaciaparis.com/,,,México,México,México,Cadena,Media,2,Retail,retail_ecom
Salud,Colágeno hidrolizado,Farmacias Benavides,https://www.benavides.com.mx/,,,México,México,México,Cadena farmacia,Media,2,Retail norte,retail_ecom
Salud,Colágeno hidrolizado,Farmacias del Ahorro,https://www.fahorro.com/,,,México,México,México,Cadena farmacia,Media,2,Retail colágeno,retail_ecom
Salud,Colágeno hidrolizado,Farmacias del Ahorro online colágeno SKUs,https://www.fahorro.com/,,,México,México,México,Retail,Media,2,Multi SKU,extra_marcas
Salud,Colágeno hidrolizado,Farmacias Guadalajara,https://www.farmaciasguadalajara.com/,,,México,México,México,Cadena farmacia,Media,2,Retail,retail_ecom
Salud,Colágeno hidrolizado,Farmacias San Pablo,https://www.farmaciasanpablo.com.mx/,,,México,México,México,Cadena farmacia,Media,2,Retail,retail_ecom
Salud,Colágeno hidrolizado,Farmacias Similares,https://www.farmaciasdesimilares.com/,,,México,México,México,Cadena,Media,2,Retail genéricos,retail_ecom
Salud,Colágeno hidrolizado,FARVESA,,,33 2505 2268,Jalisco,Jalisco,México,Proveedor,Media,3,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Femzen,https://femzen.mx/,,,México,México,México,Marca mujer,Media,3,Péptidos bioactivos,marcas_d2c
Salud,Colágeno hidrolizado,Forever Living MX,https://foreverliving.com.mx/,,,México,México,México,MLM,Media,2,Aloe + suplementos,retail_ecom
Salud,Colágeno hidrolizado,Future Foods,,,55 8526 4923,Tlalnepantla,EdoMex,México,Ingredientes,Media,3,Colágeno pescado 90%,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Gelicart / Gelicart Action,https://gelicart.mx/,,,México,México,México,Marca farmacéutica,Media,3,Sobres 10g/20g,marcas_d2c
Salud,Colágeno hidrolizado,Gelita México,https://www.gelita.com/,,,México,México,México,Fabricante global,Media,3,Péptidos colágeno industrial,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Genomma Lab,https://www.genommalab.com/,,,México,México,México,Farmacéutica OTC,Media,2,Wellness brands,labs_pharma
Salud,Colágeno hidrolizado,Genové Fluidbase,https://genove.mx/,,,México,México,México,Marca dermato,Media,3,Rederm sobres,marcas_d2c
Salud,Colágeno hidrolizado,Gibanibb,,,,Guadalajara,Jalisco,México,Marca/sabor,Media,2,Colágeno durazno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,GNC México,https://www.gnc.com.mx/,,,México,México,México,Cadena suplementos,Media,2,Retail colágeno,retail_ecom
Salud,Colágeno hidrolizado,Green Corner,https://greencorner.mx/,,,CDMX,CDMX,México,Tienda orgánica,Media,3,Retail,retail_ecom
Salud,Colágeno hidrolizado,Greenside Resveratrol,https://greenside.mx/,,,México,México,México,Marca,Media,3,Complemento antiedad,marcas_d2c
Salud,Colágeno hidrolizado,Haleon MX,https://www.haleon.com/,,,México,México,México,Consumer health,Media,2,OTC,extra_marcas
Salud,Colágeno hidrolizado,Healthy Superfoods Colágeno,https://healthysuperfoods.mx/,,,México,México,México,Marca,Media,3,Polvo sin gluten,marcas_d2c
Salud,Colágeno hidrolizado,HEB México,https://www.heb.com.mx/,,,Monterrey,NL,México,Supermercado,Media,3,Vidanat retail,retail_ecom
Salud,Colágeno hidrolizado,Herbalife México,https://www.herbalife.com.mx/,,,México,México,México,MLM,Media,2,Suplementos red,retail_ecom
Salud,Colágeno hidrolizado,Hierbas Medicinales Puebla,,,22 2968 8438,Puebla,Puebla,México,Mayoreo naturista,Media,4,Colágeno y pescado 90%,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,iHerb México envíos,https://www.iherb.com/,,,México,México,México,Ecom internacional,Media,3,Canal import,retail_ecom
Salud,Colágeno hidrolizado,IMCD México,https://www.imcdgroup.com/,,,México,México,México,Distribuidor,Media,3,Ingredientes especialidad,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Jafra MX,https://www.jafra.com.mx/,,,México,México,México,MLM belleza,Media,2,Algunos nutricosméticos,retail_ecom
Salud,Colágeno hidrolizado,Kilani Colágeno,https://kilani.mx/,,,México,México,México,Marca,Media,3,HA + biotina + vit C,marcas_d2c
Salud,Colágeno hidrolizado,Krystal Nutrition / Kali Natura,https://krystalnutrition.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno hidrolizado,marcas_d2c
Salud,Colágeno hidrolizado,La Comer / City Market,https://www.lacomer.com.mx/,,,México,México,México,Supermercado premium,Media,2,Wellness,retail_ecom
Salud,Colágeno hidrolizado,Laboratorios Layroch Mexico,,,55 9602 4534,CDMX,CDMX,México,Laboratorio,Media,3,Colágeno + HA,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Laboratorios Liomont,https://www.liomont.com.mx/,,,México,México,México,Farmacéutica,Media,2,Posible línea,labs_pharma
Salud,Colágeno hidrolizado,Laboratorios Pisa,https://www.pisa.com.mx/,,,Guadalajara,Jalisco,México,Farmacéutica,Media,3,Ejemplo medtech cliente,labs_pharma
Salud,Colágeno hidrolizado,Laboratorios Sanfer,https://www.sanfer.com.mx/,,,México,México,México,Farmacéutica,Media,2,OTC,labs_pharma
Salud,Colágeno hidrolizado,Life 180,https://life180.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno + HA frutos rojos,marcas_d2c
Salud,Colágeno hidrolizado,Life 360+,https://www.blife.mx/,,,México,México,México,Marca D2C,Media,3,Línea Life360 colágeno y multis,marcas_d2c
Salud,Colágeno hidrolizado,Lifeed5,https://lifeed5.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno + glucosamina + condroitina,marcas_d2c
Salud,Colágeno hidrolizado,Liverpool,https://www.liverpool.com.mx/,,,México,México,México,Department store,Media,2,Life360 B Life Pronat,retail_ecom
Salud,Colágeno hidrolizado,Lowpi comparador,https://lowpi.com/,,,México,México,México,Comparador precios,Media,2,No lead venta directa,extra_marcas
Salud,Colágeno hidrolizado,Maklen Colágeno Tipo II,https://maklen.mx/,,,México,México,México,Marca,Media,3,Tipo II no hidrolizado,marcas_d2c
Salud,Colágeno hidrolizado,Mary Kay MX,https://www.marykay.com.mx/,,,México,México,México,MLM,Media,2,Belleza,retail_ecom
Salud,Colágeno hidrolizado,Mayoreo Naturista,https://www.mayoreonaturista.com/,,,México,México,México,Mayoreo naturista,Media,3,Colágeno varias marcas; envíos MX/USA,retail_ecom
Salud,Colágeno hidrolizado,Mercado Libre suplementos,https://www.mercadolibre.com.mx/,,,México,México,México,Marketplace,Media,2,Canal multiproducto,retail_ecom
Salud,Colágeno hidrolizado,Miniso wellness limitado,https://www.miniso.com.mx/,,,México,México,México,Retail,Media,2,Accesorios belleza,retail_ecom
Salud,Colágeno hidrolizado,Muscle Max Plus,https://musclemaxplus.com/,,,México,México,México,Ecom suplementos,Media,3,+105 productos colágeno,retail_ecom
Salud,Colágeno hidrolizado,Naturagel Biotina,https://naturagel.mx/,,,México,México,México,Marca,Media,3,Línea belleza,marcas_d2c
Salud,Colágeno hidrolizado,Nature's Bounty MX,https://naturesbounty.mx/,,,México,México,México,Marca internacional,Media,3,Cápsulas 1000mg,marcas_d2c
Salud,Colágeno hidrolizado,Nature's Heart retail,https://naturesheart.com.mx/,,,México,México,México,Marca/retail,Media,3,Healthy foods,retail_ecom
Salud,Colágeno hidrolizado,Neocell Super Collagen,https://neocell.com/,,,México,México,México,Import,Media,2,Retail MX,marcas_d2c
Salud,Colágeno hidrolizado,NeoLife México,https://neolife.com/,,,México,México,México,MLM,Media,2,Prosperidad Vital distrib,retail_ecom
Salud,Colágeno hidrolizado,NT Nutrition,https://ntnutrition.mx/,,,México,México,México,Marca,Media,3,Colágeno 90 caps,marcas_d2c
Salud,Colágeno hidrolizado,Nutrisa,https://www.nutrisa.com/,,,México,México,México,Cadena healthy,Media,2,Retail/franquicia,retail_ecom
Salud,Colágeno hidrolizado,Nártex Wellness,https://nartex.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno premium,marcas_d2c
Salud,Colágeno hidrolizado,Oby Vitaminas,https://oby.mx/,,,México,México,México,Marca,Media,3,Complex 4 tipos colágeno,marcas_d2c
Salud,Colágeno hidrolizado,Olnatura JustCollagen,https://olnatura.mx/,,,México,México,México,Marca D2C,Media,3,Profeco favorable,marcas_d2c
Salud,Colágeno hidrolizado,Omnilife,https://www.omnilife.com/,,,Guadalajara,Jalisco,México,MLM,Media,3,Suplementos,retail_ecom
Salud,Colágeno hidrolizado,Orangelart Colágeno,https://orangelart.mx/,,,México,México,México,Marca,Media,3,Colágeno 200mg caps,marcas_d2c
Salud,Colágeno hidrolizado,Palacio de Hierro,https://www.elpalaciodehierro.com/,,,México,México,México,Department store,Media,2,Premium wellness,retail_ecom
Salud,Colágeno hidrolizado,Pretty Bee Nutrition,https://caalfrabet.com.mx/,,,México,México,México,Marca mayoreo,Media,3,Colágeno tipo 2 y 3,marcas_d2c
Salud,Colágeno hidrolizado,Primetech Colágeno,https://primet.mx/,,,México,México,México,Marca/retail,Media,3,Colágeno 1kg mayoreo-friendly,marcas_d2c
Salud,Colágeno hidrolizado,Productos Químicos y Naturistas PROQUINAT,,,55 9602 4661,México,México,México,Químicos naturistas,Media,2,Proveedor colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Pronat,https://pronat.mx/,,,México,México,México,Marca naturista,Media,3,Colagen + HA caps,marcas_d2c
Salud,Colágeno hidrolizado,Ravanaturals,,,,Zapopan,Jalisco,México,Mayoreo sabores,Media,2,Colágeno piña granel,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,ResVitále,https://resvitale.mx/,,,México,México,México,Marca,Media,3,Profeco favorable,marcas_d2c
Salud,Colágeno hidrolizado,Rousselot México,https://www.rousselot.com/,,,Naucalpan,EdoMex,México,Fabricante global,Media,4,Gelatina/colágeno industrial Satélite,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Saisa Herbal,https://saisaherbal.mx/,,,México,México,México,Marca herbal,Media,3,Colágeno marino,marcas_d2c
Salud,Colágeno hidrolizado,Sally Beauty MX,https://sallybeauty.mx/,,,México,México,México,Belleza,Media,2,Retail belleza,retail_ecom
Salud,Colágeno hidrolizado,Salud & Vida MX,https://saludvida.com.mx/,,,México,México,México,Marca D2C + mayoreo,Media,3,Péptidos colágeno; programa mayoreo,marcas_d2c
Salud,Colágeno hidrolizado,Sam's Club México,https://www.sams.com.mx/,,,México,México,México,Club mayoreo,Media,3,Suplementos,retail_ecom
Salud,Colágeno hidrolizado,Sanborns,https://www.sanborns.com.mx/,,,México,México,México,Retail,Media,2,Suplementos,retail_ecom
Salud,Colágeno hidrolizado,Schaum Colágeno,https://schaum.mx/,,,México,México,México,Fabricante D2C+mayoreo,Media,3,Dueños de marca; farmacias/spas,marcas_d2c
Salud,Colágeno hidrolizado,Sears México,https://www.sears.com.mx/,,,México,México,México,Department store,Media,2,Cahuenga etc,retail_ecom
Salud,Colágeno hidrolizado,Seltz Colágeno,https://seltz.mx/,,,México,México,México,Marca,Media,3,HA + colágeno tubos,marcas_d2c
Salud,Colágeno hidrolizado,Senosiain,https://www.senosiain.com.mx/,,,México,México,México,Farmacéutica,Media,2,OTC,labs_pharma
Salud,Colágeno hidrolizado,Silanes,https://www.silanes.com.mx/,,,México,México,México,Farmacéutica,Media,2,OTC,labs_pharma
Salud,Colágeno hidrolizado,Skin Vit Nutrition Company,https://skinvit.mx/,,,México,México,México,Marca,Media,3,60 caps,marcas_d2c
Salud,Colágeno hidrolizado,Solanum,https://solanum.com.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno + vitaminas Belabear,marcas_d2c
Salud,Colágeno hidrolizado,Soriana,https://www.soriana.com/,,,México,México,México,Supermercado,Media,2,Retail,retail_ecom
Salud,Colágeno hidrolizado,SUNNY DAY INGREDIENTS,,,33 8526 2330,Zapopan,Jalisco,México,Ingredientes,Media,3,Colágeno ingredientes,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Superama / Walmart Express,https://www.walmart.com.mx/,,,México,México,México,Supermercado,Media,2,Retail,retail_ecom
Salud,Colágeno hidrolizado,Superfoods2go,,,,San Nicolás,NL,México,Mayoreo,Media,2,Tipo A/B polvo,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Supernaturista,https://supernaturista.com/,,,México,México,México,Ecom naturista,Media,3,Vidanat Pronat Ypenza,retail_ecom
Salud,Colágeno hidrolizado,Taarzon Chem,,,33 8526 2330,Zapopan,Jalisco,México,Químicos,Media,3,Colágeno proteína polvo,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,The Blue Formula,https://theblueformula.com/,,,México,México,México,Marca D2C,Media,3,Ejemplo original del cliente,ejemplo
Salud,Colágeno hidrolizado,The Green Corner,https://thegreencorner.mx/,,,CDMX,CDMX,México,Orgánico,Media,3,Retail,retail_ecom
Salud,Colágeno hidrolizado,UNIQUIM / ABEI Química,,,72 2507 2258,Metepec,EdoMex,México,Químicos,Media,3,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Vidanat,https://vidanat.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno puro; Profeco positivo,marcas_d2c
Salud,Colágeno hidrolizado,Videm Superfoods,https://videm.mx/,,,México,México,México,Ecom superfoods,Media,3,Colágeno sabores,retail_ecom
Salud,Colágeno hidrolizado,Vital Proteins MX,https://vitalproteins.com/,,,México,México,México,Marca internacional,Media,3,Péptidos bovino Costco,marcas_d2c
Salud,Colágeno hidrolizado,Vital Suplementos Mex,https://vitalsuplementosmex.com/,,,México,México,México,Ecom,Media,3,Gomitas vitaminas (nicho hermano),extra_marcas
Salud,Colágeno hidrolizado,Vitatú,https://vitatu.mx/,,,México,México,México,Marca mujer,Media,3,Colágeno + HA + biotina,marcas_d2c
Salud,Colágeno hidrolizado,VitHerbal Colágeno,https://vitherbal.mx/,,,México,México,México,Marca,Media,3,Profeco observó,marcas_d2c
Salud,Colágeno hidrolizado,Walmart México,https://www.walmart.com.mx/,,,México,México,México,Retail,Media,2,Ypenza Spring Valley,retail_ecom
Salud,Colágeno hidrolizado,Widl Health,https://widlhealth.mx/,,,México,México,México,Marca,Media,3,Colágeno + biotina 1kg,marcas_d2c
Salud,Colágeno hidrolizado,WONU Women's Nutrition,https://wonu.mx/,,,México,México,México,Marca D2C mujer,Media,3,Colágeno + electrolitos,marcas_d2c
Salud,Colágeno hidrolizado,WU Nutrition,https://wunutrition.mx/,,,México,México,México,Marca,Media,3,Colágeno + HA + biotina,marcas_d2c
Salud,Colágeno hidrolizado,Youtheory Colágeno,https://youtheory.com/,,,México,México,México,Marca internacional,Media,3,6000mg tabletas Costco,marcas_d2c
Salud,Colágeno hidrolizado,Ypenza,https://ypenza.mx/,,,México,México,México,Marca suplementos,Media,3,Colágeno 1.1kg sabores,marcas_d2c
Salud,Colágeno hidrolizado,Zen Natura / Zennatura,https://zennatura.mx/,,,México,México,México,Marca,Media,3,HA + colágeno 1.1kg,marcas_d2c
Salud,Colágeno hidrolizado,Élan Vital,https://elanvital.mx/,,,México,México,México,Marca D2C,Media,3,Colágeno 10g + HA; COA verificado,marcas_d2c
Salud,Colágeno hidrolizado,Abastecedora Química Hasen,,,,Pachuca,Hidalgo,México,Químicos,Baja,1,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,ABUNDIS COMPANY,,,,Tlalnepantla,EdoMex,México,Proveedor,Baja,1,Tenayuca,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,AGROMASTER SA DE CV,,,,México,México,México,Veterinario,Baja,0,Colágeno para caballos,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,ALEPHQUIM,,,,CDMX,CDMX,México,Químicos,Baja,1,Colágeno grado alimenticio,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Alpharma México,,,,México,México,México,Farmacéutica,Baja,0,Genéricos,labs_pharma
Salud,Colágeno hidrolizado,Alta Potencia Nutrición Ortomolecular,,,,CDMX,CDMX,México,Ortomolecular,Baja,1,Colágeno + vit C,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Amazon México sellers colágeno,https://www.amazon.com.mx/,,,México,México,México,Marketplace,Baja,1,Canal multiproducto,retail_ecom
Salud,Colágeno hidrolizado,AMFHER FOODS,,,,México,México,México,Food ingredients,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,América Alimentos,,,,México,México,México,Alimentos,Baja,0,Colágeno QuimiNet,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Ashland México,,,,México,México,México,Ingredientes,Baja,0,Farmacéutico,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,BANA Balance Natural de México,,,,México,México,México,Natural,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,BASF Nutrition MX,,,,México,México,México,Ingredientes,Baja,0,Nutrición humana,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Beauty Collagen MX,,,,México,México,México,Seller,Baja,0,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Betterware catálogo wellness,,,,México,México,México,Catálogo,Baja,0,Canal,retail_ecom
Salud,Colágeno hidrolizado,BHN Ingredients,,,,México,México,México,Ingredientes,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,BioNutrex International,,,,México,México,México,Nutracéuticos,Baja,0,Colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Bodybalance sellers,,,,México,México,México,Ingrediente branded,Baja,0,Gelita body,ingredients_sellers
Salud,Colágeno hidrolizado,Bruluart,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,BSN MX dist,,,,México,México,México,Distribuidor,Baja,1,Import,extra_marcas
Salud,Colágeno hidrolizado,Carnot Laboratorios,,,,México,México,México,Farmacéutica,Baja,0,OTC,labs_pharma
Salud,Colágeno hidrolizado,Centrum colágeno líneas,,,,México,México,México,OTC,Baja,0,Haleon,extra_marcas
Salud,Colágeno hidrolizado,Clínicas estéticas insumos colágeno oral,,,,México,México,México,Clínicas,Baja,0,Canal profesional,regional
Salud,Colágeno hidrolizado,COGRESA,,,,México,México,México,Proveedor,Baja,0,Mayoreo colágeno,b2b_quiminet_dirind
Salud,Colágeno hidrolizado,Colapro,,,,México,México,México,Ingrediente,Baja,0,Colágeno,ingredients_sellers
Salud,Colágeno hidrolizado,Collagen HM,,,,México,México,México,Ingrediente,Baja,0,Industrial,ingredients_sellers
Salud,Colágeno hidrolizado,Collagen Plus MX,,,,México,México,México,Seller,Baja,0,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Collagen Woman MX,,,,México,México,México,Seller,Baja,0,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Colágeno + Magnesio sellers,,,,México,México,México,Seller formula,Baja,0,Marketplace,extra_marcas
Salud,Colágeno hidrolizado,Colágeno + Vitamina C sellers,,,,México,México,México,Seller formula,Baja,0,Marketplace,extra_marcas
Salud,Colágeno hidrolizado,Colágeno de Pescado MX marcas locales,,,,México,México,México,Subnicho marino,Baja,0,Varias marcas,extra_marcas
Salud,Colágeno hidrolizado,Colágeno deportivo gym brands MX,,,,México,México,México,Deportivo,Baja,0,Cluster,extra_marcas
Salud,Colágeno hidrolizado,Colágeno Japonés sellers MX,,,,México,México,México,Import sellers,Baja,0,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Colágeno nocturno sellers,,,,México,México,México,Seller formula,Baja,0,Marketplace,extra_marcas
Salud,Colágeno hidrolizado,Colágeno Premium Alemania sellers,,,,México,México,México,Import sellers,Baja,0,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Colágeno Pure Gold MX seller,,,,México,México,México,Seller ecom,Baja,1,Marketplace,ingredients_sellers
Salud,Colágeno hidrolizado,Colágeno Vegano sellers (no real colágeno),,,,México,México,México,Alternativa,Baja,0,Amino plant-based,extra_marcas
Salud,Colágeno hidrolizado,COLÁGENO Z-JOSH,,,,México,México,México,Marca,Baja,1,Colágeno,b2b_quiminet_dirind
